Number,Name,Address,Latitude,Longitude
17025,17025 - COURCELLES,2 RUE DE CHAZELLES - 75017 PARIS,48.8794303755264,2.303467406687128
7004,07004 - RASPAIL VARENNE,FACE 28 BOULEVARD RASPAIL - 75007 PARIS,48.853261668611665,2.326319806384382
9008,09008 - TOUR D'AUVERGNE,24 RUE D'AUVERGNE - 75009 PARIS,48.87916177777549,2.34369843072095
43007,43007 - VORGES (VINCENNES),4 AVENUE VORGES - 94300 VINCENNES,48.848257752729346,2.439892899386235
12006,12006 - QUAI DE LA RAPEE - GARE DE LYON,76-68 QUAI DE LA RAPEE - 75012 PARIS,48.8439658,2.3703793
14016,14016 - REILLE MONTSOURIS,61 AVENUE RENE COTY - 75014 PARIS,48.82476710259696,2.335999677300567
31002,31002 - REPUBLIQUE (MONTREUIL),38 RUE DE LA REPUBLIQUE - 93100 MONTREUIL,48.85281419134583,2.419307088753658
17047,17047 - COURCELLES - DEMOURES,172 RUE DE COURCELLES - 75017 PARIS,48.883769733273496,2.29858466343129
18018,18018 - CARPEAUX,13 RUE CARPEAUX - 75018 PARIS,48.890747210171405,2.330820396477741
4014,04014 - ARCHIVES BLANCS MANTEAUX,29 RUE DES BLANCS MANTEAUX - 75004 PARIS,48.85940271964358,2.35592748653501
15105,15105 - SUFFREN FÉDÉRATION,84 RUE DE LA FEDERATION - 75015 PARIS,48.85276674352813,2.297876431467921
10024,10024 - BUISSON SAINT LOUIS,2 RUE DU BUISSON SAINT LOUIS - 75010 PARIS,48.87182588992616,2.372203224856393
32008,32008 - EMGP-GARDINOUX (AUBERVILLIERS/ST-DENIS),204 RUE DES FILLETTES - 93300 AUBERVILLIERS,48.906023,2.366039
8054,08054 - HOCHE ALBRECHT,10 AVENUE BERTHIER ALBRECHT - 75008 PARIS,48.87614039826388,2.301303138307601
7009,07009 - ASSEMBLEE NATIONALE,FACE 119 RUE DE LILLE - 75007 PARIS,48.86137389094257,2.320131276903925
